Degree Centrality,Betweenness Centrality,Closeness Centrality,Pagerank,Hubs,Authorities
0.013157894736842105,0.0,0.37254901960784315,0.004378873767251477,0.005150783672848001,0.005150783672847993
0.02631578947368421,0.0013717627401837924,0.38190954773869346,0.007266181269486007,0.006565170285778711,0.006565170285778709
0.06578947368421052,0.0017003746740588842,0.4634146341463415,0.014035706479623336,0.023343174321102604,0.02334317432110261
0.06578947368421052,0.004542188805346698,0.4318181818181818,0.014191339797879265,0.019137388023331346,0.019137388023331356
0.039473684210526314,0.0014749626591731852,0.41304347826086957,0.009233103560021568,0.012018735986013964,0.012018735986013971
0.013157894736842105,0.0,0.37073170731707317,0.004423871202268385,0.004758529235669491,0.004758529235669479
0.02631578947368421,0.0,0.39378238341968913,0.006713945160199411,0.010775183688499697,0.010775183688499711
0.02631578947368421,0.0,0.40641711229946526,0.0067567157425785255,0.011411588170644424,0.011411588170644426
0.02631578947368421,0.003120300751879698,0.3838383838383838,0.007229691430464957,0.005550201003457451,0.005550201003457459
0.02631578947368421,0.0,0.3781094527363184,0.006932756861321685,0.006975613606536478,0.006975613606536482
0.05263157894736842,0.0021203007518796986,0.41081081081081083,0.011955497860869824,0.014175957229335082,0.014175957229335075
0.013157894736842105,0.0,0.3781094527363184,0.0044216443496305925,0.005787188154992728,0.005787188154992719
0.02631578947368421,0.003298245614035087,0.38190954773869346,0.007644714972067937,0.005371258459166573,0.005371258459166577
0.3289473684210526,0.26576789730737105,0.5846153846153846,0.07281716143913948,0.04669418840357137,0.046694188403571354
0.02631578947368421,0.0,0.40425531914893614,0.006814432060459538,0.00998132588217159,0.009981325882171599
0.13157894736842105,0.028621302187091663,0.5135135135135135,0.027399919423808216,0.03430286339673023,0.03430286339673023
0.09210526315789473,0.013703336624389256,0.4691358024691358,0.01943747199533372,0.026016202643703988,0.026016202643703995
0.013157894736842105,0.0,0.3781094527363184,0.0044216443496305925,0.005787188154992728,0.005787188154992717
0.013157894736842105,0.0,0.3781094527363184,0.0044216443496305925,0.005787188154992728,0.005787188154992719
0.3289473684210526,0.21921525550472917,0.5671641791044776,0.07162274523285654,0.047400832661234085,0.04740083266123406
0.02631578947368421,0.0,0.40860215053763443,0.0068546930214679145,0.00990931290851749,0.009909312908517487
0.013157894736842105,0.0,0.37438423645320196,0.004384934642176285,0.005237933508403787,0.005237933508403793
0.02631578947368421,0.0,0.40425531914893614,0.006814432060459538,0.00998132588217159,0.009981325882171597
0.039473684210526314,0.0025355054302422723,0.38190954773869346,0.010038992806272285,0.007634132815078005,0.00763413281507801
0.06578947368421052,0.004584181413128777,0.4720496894409938,0.014171869859223361,0.021896053847756388,0.021896053847756405
0.05263157894736842,0.005041771094402669,0.4444444444444444,0.012077071916650377,0.016948099537099897,0.01694809953709989
0.3684210526315789,0.28104626270415733,0.6031746031746031,0.07856729926183703,0.05678814622184994,0.05678814622184995
0.013157894736842105,0.0,0.37438423645320196,0.004384934642176285,0.005237933508403787,0.005237933508403793
0.013157894736842105,0.0,0.37254901960784315,0.004378873767251477,0.005150783672848001,0.005150783672848006
0.013157894736842105,0.0,0.37254901960784315,0.004378873767251477,0.005150783672848001,0.005150783672848006
0.02631578947368421,0.0015764411027568922,0.37438423645320196,0.0073315706136320965,0.005446736170554406,0.005446736170554395
0.013157894736842105,0.0,0.37254901960784315,0.004283123340999882,0.005624400015651696,0.00562440001565171
0.039473684210526314,0.003303561935140882,0.38,0.010261650935787603,0.006753192569938976,0.006753192569938983
0.02631578947368421,0.0,0.38190954773869346,0.006713904252111893,0.00873368284940814,0.008733682849408139
0.02631578947368421,0.0,0.3781094527363184,0.006752840812203993,0.008254278576673843,0.008254278576673832
0.02631578947368421,0.0012216083137135767,0.41530054644808745,0.0068594294954764466,0.009589071444993082,0.009589071444993078
0.02631578947368421,0.0,0.4021164021164021,0.006758942595216319,0.010382929251321187,0.010382929251321196
0.013157894736842105,0.0,0.37073170731707317,0.004423871202268385,0.004758529235669491,0.004758529235669486
0.02631578947368421,0.0005697363065784118,0.3838383838383838,0.006781841240367669,0.00843845729819297,0.008438457298192963
0.3026315789473684,0.15773754607965135,0.5891472868217055,0.06318045791528488,0.05519074928010619,0.055190749280106144
0.013157894736842105,0.0,0.3781094527363184,0.0044216443496305925,0.005787188154992728,0.005787188154992719
0.039473684210526314,0.006642160957950433,0.3877551020408163,0.010373803602957175,0.006094186718945981,0.006094186718945975
0.02631578947368421,0.0,0.41530054644808745,0.006857202642838653,0.010617730364316319,0.010617730364316316
0.013157894736842105,0.0,0.37438423645320196,0.004384934642176285,0.005237933508403787,0.005237933508403793
0.05263157894736842,0.0025822890559732666,0.4318181818181818,0.011881541327530835,0.017568965803297792,0.0175689658032978
0.039473684210526314,0.0020584795321637425,0.40641711229946526,0.009863184825583052,0.010616489542977031,0.010616489542977043
0.039473684210526314,0.004839136983873823,0.4198895027624309,0.009767128906840157,0.010277278379877998,0.01027727837987799
0.013157894736842105,0.0,0.36363636363636365,0.004383610241260009,0.00483054220932359,0.004830542209323597
0.013157894736842105,0.0,0.37438423645320196,0.004384934642176285,0.005237933508403787,0.005237933508403789
0.06578947368421052,0.007562238930659981,0.4418604651162791,0.014988383141115752,0.017051395056928414,0.017051395056928435
