Author,Degree Centrality,Betweenness Centrality,Closeness Centrality,Pagerank,Hubs,Authorities
Afshin Rahimi,0.013157894736842105,0.0,0.37073170731707317,0.004264172134777868,0.005354248736500649,0.005354248736500641
Alberto Tonon,0.013157894736842105,0.0,0.38,0.0045299339537888655,0.005235901520959225,0.005235901520959236
Alessandro Checco,0.06578947368421052,0.0027840814156603636,0.4634146341463415,0.014273616096499395,0.021937197353790457,0.021937197353790426
Andrea Brunello,0.06578947368421052,0.008811194653299919,0.4393063583815029,0.014573180025287484,0.018342861603160874,0.018342861603160843
Andrew Turpin,0.039473684210526314,0.0010033416875522138,0.40860215053763443,0.00910456321699251,0.011475575131146115,0.011475575131146125
Arkaitz Zubiaga,0.039473684210526314,0.002877192982456141,0.38974358974358975,0.010120971843254941,0.00662811850477891,0.00662811850477892
Beatrice Portelli,0.039473684210526314,0.0,0.39378238341968913,0.009013352070080001,0.012678172711613207,0.012678172711613195
Ben Carterette,0.013157894736842105,0.0,0.37254901960784315,0.004319476585192793,0.005541123823290011,0.005541123823290004
Carlo Alberto Beltrami,0.02631578947368421,0.0018046821599453176,0.4198895027624309,0.006938495320733449,0.009590321332137603,0.00959032133213762
Carlo Tasso,0.05263157894736842,0.0025288220551378453,0.4550898203592814,0.012069023442184877,0.01706452966581565,0.017064529665815658
Claudio Carpineto,0.02631578947368421,0.0,0.40425531914893614,0.006878874839941709,0.010626514996259828,0.010626514996259833
Claudiu S. Firan,0.039473684210526314,0.0005760233918128655,0.40860215053763443,0.00915472291615964,0.01344034092155982,0.013440340921559829
Cristina Sarasua,0.013157894736842105,0.0,0.35185185185185186,0.004367474070593916,0.004480344493290762,0.004480344493290761
Damiano Spina,0.381578947368421,0.33081056808688386,0.6031746031746031,0.08772343175690248,0.04966504695959781,0.04966504695959782
Dante Degl'Innocenti,0.02631578947368421,0.0,0.40641711229946526,0.006949356076330833,0.009716246014249988,0.009716246014249995
David La Barbera,0.11842105263157894,0.03548805093541935,0.5135135135135135,0.025058313365784922,0.0332031676483162,0.033203167648316205
Davide Ceolin,0.05263157894736842,0.0006090225563909774,0.4245810055865922,0.011421749359936312,0.0187919509649766,0.018791950964976566
Djellel Difallah,0.02631578947368421,0.0,0.40641711229946526,0.006949356076330833,0.009716246014249988,0.00971624601425
"Dr. Wasim Ahmed, PhD",0.013157894736842105,0.0,0.38,0.0045299339537888655,0.005235901520959225,0.005235901520959244
Eddy Maddalena,0.2894736842105263,0.17136833244727975,0.5390070921985816,0.06262768268495227,0.04354550454374981,0.043545504543749766
Edgar Meij,0.02631578947368421,0.0,0.41304347826086957,0.006890497835332326,0.010651100662136852,0.010651100662136842
Elena Nazzi,0.02631578947368421,0.0,0.37623762376237624,0.006984230064781495,0.0066332152220327885,0.006633215222032788
Elena Simperl,0.039473684210526314,0.0038268524847472206,0.4245810055865922,0.009448656068577829,0.011087870704729762,0.011087870704729785
Fabio Crestani,0.02631578947368421,0.0,0.4,0.0066131130209307115,0.010744862211801253,0.01074486221180123
Falk Scholer,0.06578947368421052,0.008183128275233539,0.4779874213836478,0.014637100342843894,0.021273016357291123,0.021273016357291147
Flora Salim,0.013157894736842105,0.0,0.3781094527363184,0.004519073198191481,0.005109976838846841,0.005109976838846851
Gianluca Demartini,0.35526315789473684,0.30199632287790157,0.608,0.08202506691205125,0.0508889380745125,0.0508889380745124
Giorgio Brajnik,0.06578947368421052,0.003318156502367028,0.41081081081081083,0.014048004125829065,0.015595645390135011,0.015595645390134985
Giuseppe Primiero,0.02631578947368421,0.0,0.41530054644808745,0.006835193384917401,0.010464225575347489,0.01046422557534748
Giuseppe Serra,0.05263157894736842,0.003822055137844611,0.4198895027624309,0.012325439597636495,0.01290750688434988,0.012907506884349855
Hideo Joho,0.013157894736842105,0.0,0.3781094527363184,0.004519073198191481,0.005109976838846841,0.005109976838846855
J. Shane Culpepper,0.07894736842105263,0.005315162907268171,0.40425531914893614,0.01678462668101038,0.017327447080919905,0.017327447080919878
Jan Wielemaker,0.013157894736842105,0.0,0.37073170731707317,0.004264172134777868,0.005354248736500649,0.005354248736500629
Joel Mackenzie,0.013157894736842105,0.0,0.34080717488789236,0.00431478241352758,0.0034162339118951777,0.0034162339118951647
